Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
23.0,Male,107.6,1.5,,136.0,71.0,1.53,1062.0,Cardio,10.0,2.3,5.0,3.0,23.77
30.0,Female,54.3,1.82,185,168.0,66.0,1.4,1415.0,,25.4,3.6,3.0,1.0,26.4
18.0,Female,42.8,1.89,194,162.0,73.0,2.0,736.0,,22.5,1.5,3.0,2.0,18.54
37.0,,55.4,1.68,197,,52.0,1.04,338.0,Cardio,27.4,3.2,,3.0,17.71
49.0,Female,102.4,1.65,185,148.0,68.0,1.27,980.0,Cardio,34.8,2.0,5.0,,15.52
42.0,Female,95.5,1.95,168,125.0,72.0,1.91,632.0,HIIT,26.1,2.0,4.0,1.0,12.32
27.0,Female,58.7,1.98,199,145.0,52.0,2.0,1119.0,Cardio,23.0,2.7,2.0,3.0,18.99
35.0,Female,49.7,1.86,161,,62.0,1.12,867.0,Strength,15.2,1.8,4.0,3.0,12.32
24.0,Female,86.5,1.65,196,169.0,59.0,1.08,771.0,Cardio,27.3,2.1,3.0,1.0,12.9
44.0,Female,63.6,1.78,167,129.0,74.0,1.34,1165.0,Yoga,10.7,3.4,4.0,1.0,15.73
52.0,Male,58.7,1.58,169,131.0,53.0,1.14,900.0,HIIT,28.5,3.3,3.0,,19.62
49.0,Female,56.6,1.75,198,120.0,72.0,1.12,1767.0,Yoga,23.6,2.6,2.0,2.0,34.37
36.0,Female,40.0,1.71,178,169.0,69.0,1.3,1519.0,HIIT,27.5,2.7,4.0,1.0,39.74
23.0,Female,67.7,1.73,188,162.0,54.0,1.76,954.0,Yoga,18.0,3.2,3.0,1.0,16.07
56.0,Female,40.0,1.74,172,146.0,74.0,1.43,876.0,Yoga,26.0,3.4,2.0,1.0,19.63
48.0,,68.0,1.69,185,144.0,68.0,1.23,695.0,Yoga,14.2,2.6,2.0,1.0,28.93
24.0,Male,68.3,1.74,184,161.0,51.0,1.9,566.0,Cardio,27.5,3.5,4.0,,16.26
22.0,Female,99.1,1.72,182,169.0,62.0,1.14,1105.0,Yoga,31.4,3.6,4.0,1.0,16.91
20.0,Female,72.9,1.63,164,156.0,51.0,1.11,582.0,Strength,27.1,3.2,3.0,2.0,19.83
44.0,Female,40.0,1.68,175,156.0,74.0,1.04,1010.0,Cardio,28.1,1.8,3.0,3.0,12.32
33.0,Female,58.3,1.77,167,153.0,74.0,1.41,969.0,Strength,29.5,2.6,2.0,1.0,20.47
18.0,Male,40.0,1.64,177,134.0,53.0,0.98,468.0,\nStrength,25.6,2.1,3.0,3.0,18.78
59.0,Male,45.8,1.5,163,137.0,55.0,1.98,1306.0,\tCardio,24.0,2.9,4.0,2.0,26.25
27.0,Male,52.3,1.75,180,128.0,61.0,1.92,931.0,Strength,15.0,2.5,4.0,2.0,23.23
33.0,Female,76.3,1.95,188,125.0,72.0,0.95,899.0,Strength,21.7,2.3,5.0,1.0,26.08
47.0,Male,77.5,1.72,176,151.0,56.0,1.39,679.0,Cardio,13.3,3.5,2.0,3.0,24.32
18.0,Male,,1.8,197,165.0,56.0,0.74,1208.0,HIIT,26.1,3.3,3.0,3.0,12.32
46.0,Female,40.0,1.58,177,132.0,58.0,1.29,1189.0,Strength,31.1,2.5,,2.0,12.73
27.0,Male,96.3,1.61,198,159.0,70.0,1.16,1203.0,Cardio,32.1,3.1,3.0,1.0,12.32
34.0,Female,49.6,1.52,191,,59.0,1.59,744.0,HIIT,22.2,1.6,3.0,1.0,20.97
45.0,Male,86.4,1.51,,159.0,69.0,1.23,1313.0,\tCardio,35.0,3.3,3.0,3.0,16.06
55.0,Female,68.4,1.85,175,150.0,58.0,1.16,1020.0,Cardio,29.2,2.5,4.0,2.0,22.87
18.0,Female,56.9,1.77,183,131.0,57.0,1.28,1052.0,Cardio,20.7,3.5,4.0,2.0,18.57
41.0,Female,51.1,1.94,,137.0,72.0,1.23,1084.0,,16.4,2.3,3.0,2.0,16.41
24.0,Male,47.6,1.51,175,120.0,70.0,0.78,583.0,Strength,22.6,1.7,5.0,1.0,13.71
26.0,Female,88.8,1.7,193,169.0,68.0,1.91,1145.0,Strength,18.1,3.7,2.0,2.0,30.34
18.0,,67.5,1.69,177,169.0,72.0,1.07,975.0,,26.2,1.6,4.0,3.0,14.08
29.0,Male,96.7,1.7,175,141.0,54.0,2.0,880.0,Yoga,32.9,2.3,2.0,3.0,13.16
26.0,,55.7,1.99,172,142.0,68.0,2.0,1583.0,Strength,18.9,3.2,4.0,1.0,12.32
43.0,Male,112.0,1.71,166,146.0,58.0,1.62,815.0,HIIT,31.2,2.6,3.0,1.0,21.1
48.0,Male,75.2,1.72,193,169.0,59.0,1.54,1726.0,Cardio,30.9,1.9,2.0,,18.64
29.0,Female,72.0,1.66,167,144.0,68.0,0.87,1248.0,HIIT,10.0,3.6,4.0,3.0,17.55
57.0,Female,63.6,1.87,170,158.0,,1.56,840.0,Strength,23.7,3.6,4.0,1.0,12.32
22.0,Female,75.7,1.56,194,142.0,61.0,1.23,643.0,Strength,28.8,2.3,3.0,3.0,13.93
20.0,Male,59.1,1.62,191,127.0,54.0,1.02,995.0,,26.2,3.4,3.0,,12.46
39.0,Female,41.3,1.76,175,136.0,69.0,1.42,1096.0,Yoga,24.3,3.2,3.0,2.0,15.36
41.0,Male,40.0,1.77,176,148.0,65.0,1.03,1238.0,Yoga,11.6,1.9,5.0,1.0,22.98
41.0,Female,63.7,1.93,195,155.0,61.0,1.18,1064.0,HIIT,21.2,3.4,4.0,1.0,15.76
31.0,Female,100.0,1.75,190,169.0,67.0,1.46,1573.0,HIIT,20.8,3.4,4.0,2.0,
20.0,Male,45.0,1.68,171,154.0,74.0,1.5,1692.0,Yoga,10.0,2.4,4.0,1.0,12.32
26.0,Male,47.1,1.61,189,138.0,52.0,1.26,1095.0,Yoga,19.3,3.6,3.0,3.0,29.91
37.0,Female,72.1,1.83,164,152.0,58.0,1.58,1091.0,Cardio,34.4,3.3,4.0,2.0,16.92
59.0,Male,57.5,1.81,175,169.0,58.0,1.47,1349.0,Cardio,24.7,2.5,5.0,2.0,12.32
22.0,Male,54.3,1.85,165,144.0,53.0,2.0,1740.0,\tCardio,26.6,3.7,4.0,2.0,20.04
25.0,Male,63.9,1.67,178,144.0,61.0,1.56,868.0,Strength,24.8,2.4,3.0,2.0,24.51
32.0,Male,56.6,2.0,190,123.0,65.0,1.25,1309.0,HIIT,14.7,3.5,4.0,3.0,17.83
37.0,Female,68.9,1.65,171,132.0,50.0,1.19,767.0,Strength,23.0,,3.0,3.0,20.71
29.0,Female,95.3,1.72,190,169.0,74.0,1.49,733.0,HIIT,29.2,3.7,5.0,3.0,20.06
30.0,Female,96.3,2.0,173,136.0,74.0,2.0,1095.0,HIIT,20.4,1.5,5.0,2.0,25.83
28.0,Male,84.4,1.74,\t182,142.0,52.0,1.45,1392.0,Strength,22.0,2.6,2.0,1.0,34.01
33.0,Male,60.5,1.54,195,126.0,56.0,1.27,1237.0,Cardio,29.1,3.7,4.0,2.0,21.23
48.0,Female,49.8,1.69,184,143.0,56.0,1.37,,Strength,17.7,2.7,3.0,3.0,25.57
32.0,Male,47.2,1.81,187,129.0,,1.19,919.0,HIIT,30.5,1.9,4.0,2.0,31.5
54.0,,56.3,1.59,172,169.0,68.0,1.47,936.0,Cardio,19.6,3.1,4.0,2.0,18.7
49.0,Male,45.0,1.84,190,159.0,53.0,1.3,864.0,HIIT,26.5,1.5,4.0,2.0,17.11
53.0,Male,87.7,1.84,164,152.0,53.0,1.37,1066.0,Cardio,24.7,2.6,5.0,2.0,25.16
54.0,Female,46.1,1.85,187,162.0,63.0,1.35,772.0,Strength,25.7,3.6,4.0,1.0,20.62
18.0,Female,69.8,1.82,178,168.0,58.0,1.9,963.0,HIIT,31.4,3.7,5.0,2.0,34.21
18.0,Male,79.2,1.77,198,137.0,66.0,1.2,1429.0,Yoga,12.9,3.7,3.0,2.0,19.07
29.0,Male,60.6,1.76,188,148.0,50.0,1.38,676.0,Strength,30.2,2.5,3.0,,23.73
22.0,Female,53.3,1.73,172,144.0,71.0,1.1,1235.0,Strength,22.8,2.6,3.0,1.0,13.13
20.0,Male,95.7,1.85,196,136.0,58.0,1.44,987.0,HIIT,23.8,1.5,3.0,2.0,15.47
29.0,Female,57.4,1.74,198,165.0,67.0,1.58,880.0,Strength,20.9,3.3,4.0,1.0,
47.0,Male,87.3,1.9,194,164.0,74.0,1.87,1073.0,HIIT,23.7,3.5,5.0,2.0,20.1
20.0,Female,,1.75,193,136.0,51.0,0.58,1218.0,Yoga,28.4,3.0,4.0,1.0,19.66
18.0,Male,79.2,1.66,176,154.0,72.0,1.58,1493.0,Strength,18.1,2.3,3.0,1.0,14.27
18.0,Male,73.8,1.75,187,149.0,74.0,1.64,1065.0,HIIT,17.7,2.4,3.0,1.0,17.79
33.0,Female,66.3,1.76,164,120.0,74.0,1.44,419.0,,25.4,2.6,3.0,3.0,20.67
27.0,Male,72.8,1.82,162,136.0,57.0,1.23,780.0,HIIT,11.4,3.5,4.0,3.0,22.59
38.0,Male,50.0,1.75,186,135.0,59.0,2.0,695.0,Strength,23.4,1.6,4.0,1.0,49.84
29.0,Female,93.5,1.85,166,167.0,74.0,1.01,670.0,Cardio,23.2,2.6,3.0,1.0,19.83
54.0,Male,84.0,1.94,178,133.0,53.0,1.47,942.0,Yoga,30.7,1.5,4.0,1.0,16.61
37.0,Female,55.3,1.73,183,134.0,51.0,1.1,976.0,Yoga,31.3,2.8,2.0,2.0,16.26
21.0,Male,66.6,1.85,189,121.0,56.0,0.88,993.0,HIIT,13.9,3.4,5.0,1.0,12.32
21.0,,65.8,1.62,172,127.0,62.0,1.35,1307.0,Cardio,26.0,3.4,3.0,1.0,15.3
26.0,Female,59.8,1.6,180,151.0,58.0,1.2,611.0,HIIT,16.4,2.5,3.0,3.0,12.63
42.0,Female,80.3,1.94,192,169.0,52.0,1.72,753.0,Yoga,24.6,3.5,5.0,2.0,33.99
31.0,Female,129.9,1.7,190,169.0,69.0,1.38,735.0,Strength,10.0,2.1,3.0,3.0,16.07
50.0,Female,40.0,1.75,162,169.0,55.0,2.0,1449.0,Yoga,31.7,3.5,4.0,3.0,28.18
51.0,Female,91.7,1.72,168,137.0,58.0,0.86,1529.0,Cardio,10.0,1.7,,1.0,14.15
18.0,Male,64.8,1.82,169,156.0,69.0,1.93,1516.0,Strength,21.9,3.5,3.0,2.0,17.69
54.0,Male,60.1,1.63,174,159.0,72.0,0.52,893.0,Cardio,18.4,3.6,4.0,1.0,20.56
38.0,Female,59.0,,169,134.0,67.0,1.36,1783.0,Yoga,24.5,2.4,3.0,1.0,12.32
37.0,Male,46.3,1.69,181,141.0,67.0,1.64,1445.0,Strength,20.7,2.5,4.0,2.0,19.11
21.0,Male,66.9,1.69,197,149.0,74.0,1.37,872.0,Yoga,16.6,2.6,5.0,2.0,33.07
19.0,Female,40.0,1.93,167,158.0,74.0,1.19,1265.0,Yoga,24.7,2.6,4.0,3.0,12.32
32.0,Female,79.0,1.6,165,149.0,,1.59,1245.0,Yoga,,2.2,3.0,2.0,18.69
36.0,Female,50.1,1.85,199,140.0,68.0,0.91,1243.0,Strength,30.7,2.8,4.0,2.0,25.82
23.0,Male,71.3,1.77,171,134.0,50.0,1.34,1239.0,Cardio,35.0,2.5,3.0,3.0,18.17
45.0,,68.3,1.75,185,133.0,65.0,1.31,1595.0,,29.1,2.5,4.0,2.0,13.23
39.0,Female,66.8,1.61,177,127.0,59.0,1.64,770.0,Yoga,28.0,3.1,4.0,1.0,17.16
45.0,Male,53.9,1.68,169,141.0,71.0,1.59,1031.0,Yoga,19.2,2.1,3.0,3.0,20.62
33.0,Female,97.1,1.86,166,127.0,72.0,1.39,1783.0,HIIT,11.0,1.5,4.0,1.0,16.27
27.0,Female,40.0,1.57,178,169.0,52.0,1.32,949.0,Strength,28.4,3.1,3.0,2.0,21.11
37.0,Male,62.1,1.85,196,151.0,64.0,1.28,943.0,HIIT,26.7,3.3,4.0,1.0,20.37
28.0,Male,60.7,1.73,198,124.0,70.0,1.34,1212.0,Cardio,24.8,2.0,2.0,1.0,20.21
18.0,Male,46.9,1.84,185,147.0,65.0,1.29,1040.0,HIIT,21.8,1.7,3.0,1.0,13.0
18.0,Female,90.8,1.66,182,134.0,56.0,1.77,990.0,Yoga,10.0,1.8,4.0,2.0,22.03
24.0,Female,44.0,1.79,193,164.0,62.0,1.84,622.0,Strength,26.3,3.5,4.0,2.0,14.27
27.0,Female,75.1,1.86,175,165.0,70.0,1.29,765.0,,27.0,3.5,4.0,2.0,14.22
23.0,Female,74.2,1.71,199,150.0,57.0,1.05,1166.0,Cardio,34.5,3.3,,1.0,12.32
23.0,Female,58.2,1.85,196,130.0,57.0,1.36,582.0,HIIT,25.7,1.5,4.0,1.0,35.08
25.0,Female,65.9,,180,151.0,56.0,1.66,825.0,Cardio,10.0,2.5,,1.0,15.58
23.0,Female,78.7,1.68,191,132.0,70.0,1.28,1319.0,,21.1,3.5,2.0,2.0,20.39
43.0,Male,74.2,1.76,188,141.0,68.0,0.98,1426.0,Cardio,21.2,3.1,2.0,3.0,20.52
18.0,Male,56.1,2.0,180,120.0,57.0,1.04,1461.0,HIIT,27.4,2.0,5.0,2.0,12.32
45.0,Female,42.1,1.86,194,129.0,74.0,0.91,1176.0,Strength,22.1,3.6,5.0,1.0,33.0
18.0,Male,40.0,1.73,168,121.0,73.0,0.64,1153.0,HIIT,29.9,3.1,2.0,3.0,18.62
18.0,Male,40.0,1.85,175,144.0,51.0,2.0,1318.0,,32.7,2.0,4.0,2.0,21.16
20.0,Male,,1.81,171,168.0,74.0,0.75,793.0,Strength,24.4,2.1,3.0,2.0,22.57
22.0,Female,40.0,1.75,181,155.0,50.0,2.0,998.0,Strength,27.0,1.8,,1.0,12.82
28.0,Female,107.7,1.99,188,129.0,55.0,2.0,1127.0,\tYoga,10.0,2.0,2.0,1.0,17.86
18.0,Female,40.0,1.8,196,120.0,70.0,2.0,979.0,Cardio,10.0,2.6,4.0,1.0,20.06
57.0,Female,70.0,1.81,167,154.0,53.0,1.3,1149.0,Yoga,26.6,1.5,3.0,3.0,12.32
55.0,Female,63.2,1.59,161,168.0,69.0,1.49,1094.0,Yoga,19.0,3.6,3.0,2.0,17.45
50.0,Male,69.6,1.71,167,169.0,57.0,0.98,470.0,Yoga,27.2,2.7,2.0,2.0,20.42
32.0,Male,57.0,1.76,170,160.0,71.0,1.82,904.0,Strength,30.9,3.3,4.0,3.0,16.01
20.0,Female,75.8,1.87,160,163.0,63.0,2.0,988.0,HIIT,23.5,2.7,4.0,3.0,12.32
18.0,Male,54.7,1.6,167,156.0,57.0,1.63,1134.0,Yoga,22.7,3.4,4.0,2.0,15.86
30.0,Male,62.2,1.69,164,134.0,67.0,1.24,1783.0,Cardio,30.3,3.2,3.0,2.0,25.59
18.0,Male,97.5,2.0,169,159.0,68.0,1.17,782.0,Strength,24.8,1.8,2.0,1.0,42.88
31.0,Female,51.0,1.56,193,140.0,64.0,1.41,1347.0,Cardio,28.6,3.5,2.0,2.0,25.42
18.0,Male,50.6,1.89,189,130.0,66.0,,1278.0,HIIT,28.5,3.7,4.0,2.0,27.87
31.0,Female,71.0,1.81,199,158.0,68.0,1.87,1228.0,Strength,29.6,2.7,2.0,2.0,14.52
28.0,Female,70.0,1.74,198,169.0,69.0,2.0,1468.0,Cardio,28.4,2.8,4.0,2.0,21.91
23.0,Male,57.8,1.87,172,142.0,54.0,1.46,1741.0,,28.7,3.5,3.0,2.0,13.33
48.0,Male,67.3,1.61,173,139.0,59.0,0.86,659.0,Cardio,20.5,2.7,3.0,,18.23
52.0,Female,73.5,1.78,181,162.0,67.0,2.0,1325.0,Yoga,21.1,2.3,3.0,3.0,18.08
18.0,Male,94.7,1.52,161,141.0,66.0,1.4,1446.0,Yoga,16.7,2.6,3.0,2.0,22.4
47.0,Male,40.0,1.89,177,139.0,69.0,1.3,902.0,HIIT,26.7,3.3,3.0,3.0,26.2
54.0,Female,63.5,1.51,192,147.0,70.0,1.23,526.0,Yoga,28.3,2.2,,3.0,17.05
22.0,Female,60.1,1.71,198,161.0,70.0,1.04,533.0,HIIT,10.3,3.4,5.0,1.0,26.74
43.0,Male,70.4,1.62,178,140.0,66.0,,763.0,HIIT,29.1,3.4,3.0,1.0,17.91
31.0,Male,40.0,1.77,181,127.0,51.0,0.76,1382.0,Cardio,15.3,2.6,4.0,,14.09
48.0,Male,55.5,1.5,183,133.0,51.0,0.73,830.0,Cardio,27.3,2.2,3.0,3.0,32.42
51.0,Male,75.7,,163,147.0,57.0,1.02,406.0,Strength,21.8,1.5,3.0,3.0,22.86
23.0,Female,95.6,1.5,196,152.0,56.0,0.5,639.0,Yoga,25.2,3.2,2.0,1.0,13.38
43.0,Male,102.5,1.79,190,138.0,69.0,1.54,844.0,Cardio,19.7,3.7,4.0,2.0,17.07
50.0,Male,56.6,1.96,196,169.0,74.0,2.0,1299.0,Strength,24.8,1.6,3.0,2.0,20.69
30.0,Male,40.0,1.67,176,120.0,55.0,1.39,1710.0,Cardio,18.2,2.7,3.0,1.0,12.32
25.0,Female,74.9,1.66,192,138.0,58.0,1.73,1766.0,HIIT,28.7,2.3,5.0,1.0,15.98
19.0,Female,82.8,1.79,192,127.0,74.0,1.18,1140.0,Cardio,10.0,2.4,4.0,3.0,21.95
45.0,Female,40.0,1.93,177,141.0,56.0,1.44,,Strength,24.0,3.6,4.0,1.0,23.52
41.0,Female,73.3,1.71,196,158.0,56.0,1.36,1234.0,Strength,30.1,3.2,4.0,3.0,25.83
53.0,Male,55.3,1.98,177,169.0,51.0,0.83,1273.0,Strength,14.7,2.1,2.0,2.0,20.9
35.0,Male,95.9,1.69,175,129.0,58.0,1.22,1674.0,Cardio,27.5,2.1,3.0,3.0,24.01
33.0,Male,89.6,1.62,175,137.0,56.0,1.09,906.0,Cardio,23.9,1.6,3.0,1.0,25.68
21.0,Male,86.3,1.86,167,143.0,73.0,1.26,1783.0,Cardio,27.1,3.1,3.0,2.0,12.93
27.0,Female,71.3,,168,162.0,71.0,1.93,1105.0,HIIT,28.9,2.7,4.0,1.0,12.32
33.0,Male,42.7,1.82,196,145.0,68.0,1.24,1436.0,Yoga,26.3,3.7,4.0,1.0,42.84
33.0,Female,103.3,1.72,180,162.0,58.0,0.66,1104.0,Yoga,22.6,3.2,2.0,1.0,12.42
33.0,Male,76.8,1.72,193,126.0,69.0,1.26,790.0,HIIT,31.8,3.3,4.0,1.0,25.47
23.0,Female,69.1,1.63,198,138.0,57.0,2.0,1549.0,Yoga,21.4,3.3,2.0,1.0,31.27
30.0,Male,75.6,1.82,196,138.0,74.0,1.31,925.0,Cardio,32.4,3.3,3.0,3.0,15.35
18.0,Female,42.0,1.74,197,120.0,57.0,2.0,1236.0,Cardio,26.6,1.5,3.0,2.0,19.62
56.0,Male,62.9,1.5,194,153.0,74.0,1.85,991.0,Yoga,23.2,2.4,3.0,2.0,32.25
22.0,Female,53.5,1.76,194,137.0,66.0,2.0,1395.0,Strength,13.1,2.3,5.0,2.0,17.16
21.0,Female,90.7,1.75,190,135.0,54.0,1.03,1155.0,Cardio,28.0,2.3,3.0,2.0,12.66
21.0,Male,74.7,1.59,161,169.0,74.0,1.08,1379.0,Yoga,15.2,2.5,3.0,2.0,21.53
50.0,Male,82.6,1.71,164,160.0,63.0,1.33,1011.0,Yoga,22.4,3.6,5.0,2.0,12.32
27.0,Male,40.0,1.76,183,125.0,60.0,1.04,1783.0,Yoga,21.9,3.3,4.0,2.0,12.32
27.0,Female,70.1,1.58,169,156.0,63.0,0.82,797.0,Cardio,28.1,3.4,3.0,1.0,24.04
29.0,Female,40.2,1.7,184,152.0,70.0,1.82,744.0,Strength,13.2,2.6,3.0,2.0,18.63
19.0,Female,76.4,1.79,189,132.0,57.0,1.41,1414.0,HIIT,33.3,3.5,3.0,2.0,14.21
39.0,Male,78.5,1.59,197,153.0,71.0,1.88,1009.0,Yoga,26.0,3.7,5.0,1.0,16.24
18.0,,72.1,1.79,194,169.0,71.0,1.89,716.0,\nStrength,16.7,3.2,2.0,2.0,12.32
26.0,Male,61.0,1.97,172,140.0,74.0,1.99,1298.0,Cardio,21.8,2.6,,2.0,24.27
20.0,Female,82.6,1.6,174,149.0,63.0,2.0,775.0,HIIT,22.9,3.3,2.0,2.0,15.06
34.0,Male,91.2,1.5,193,165.0,61.0,1.13,905.0,Strength,24.0,3.4,4.0,1.0,24.8
18.0,Male,64.2,1.61,167,147.0,,1.17,1783.0,Cardio,25.9,2.1,3.0,2.0,12.83
23.0,Male,46.7,1.65,164,159.0,68.0,1.81,1563.0,Yoga,15.8,2.5,4.0,2.0,19.8
28.0,Female,74.2,1.5,191,129.0,72.0,1.77,848.0,Strength,17.3,1.5,3.0,2.0,24.11
18.0,Female,64.0,1.51,176,129.0,74.0,1.18,992.0,Strength,26.7,3.4,5.0,3.0,14.98
32.0,Male,52.8,1.61,169,169.0,70.0,0.88,1375.0,Strength,24.2,2.7,5.0,1.0,18.1
26.0,Male,,1.77,164,147.0,56.0,1.2,1091.0,Yoga,30.8,1.6,3.0,3.0,21.49
47.0,Male,40.0,1.73,170,160.0,66.0,1.27,1249.0,Cardio,22.8,3.6,2.0,1.0,26.91
26.0,Female,85.8,1.87,188,162.0,58.0,1.33,938.0,HIIT,24.3,,4.0,2.0,18.34
19.0,Male,40.0,1.59,187,152.0,73.0,1.52,948.0,Yoga,27.1,1.6,3.0,,13.85
26.0,Female,86.6,,192,120.0,59.0,1.75,1102.0,HIIT,19.0,1.8,3.0,1.0,17.94
39.0,Male,70.7,1.58,189,163.0,66.0,1.69,1146.0,Yoga,21.9,3.2,3.0,1.0,21.17
37.0,Female,40.0,1.59,190,161.0,70.0,1.16,670.0,,24.5,3.3,4.0,2.0,
19.0,Female,66.7,1.73,172,,71.0,1.18,589.0,HIIT,24.9,1.8,3.0,1.0,19.24
39.0,Female,72.1,1.52,172,151.0,,1.09,1093.0,HIIT,28.2,2.7,2.0,1.0,20.85
53.0,Male,80.5,1.64,173,120.0,60.0,1.26,735.0,Yoga,26.3,,4.0,2.0,12.32
41.0,Male,77.0,1.5,190,146.0,56.0,1.3,1067.0,Strength,27.5,3.3,4.0,2.0,26.26
23.0,Male,117.8,1.88,168,167.0,55.0,1.35,1259.0,Strength,32.3,1.6,3.0,2.0,14.24
31.0,Female,76.2,1.64,169,137.0,72.0,0.74,1207.0,Strength,23.3,2.7,,3.0,40.63
50.0,Female,57.3,1.72,197,133.0,56.0,2.0,950.0,Yoga,11.1,3.2,2.0,3.0,22.6
